Capabilities {acceptInsecureCerts: false, acceptSslCerts: false, applicationCacheEnabled: false, browserConnectionEnabled: false, browserName: chrome, chrome: {chromedriverVersion: 2.45.615291 (ec3682e3c9061c..., userDataDir: C:\Users\altius\AppData\Loc...}, cssSelectorsEnabled: true, databaseEnabled: false, goog:chromeOptions: {debuggerAddress: localhost:56910}, handlesAlerts: true, hasTouchScreen: false, javascriptEnabled: true, locationContextEnabled: true, mobileEmulationEnabled: false, nativeEvents: true, networkConnectionEnabled: false, pageLoadStrategy: normal, platform: XP, platformName: XP, proxy: Proxy(), rotatable: false, setWindowRect: true, strictFileInteractability: false, takesHeapSnapshot: true, takesScreenshot: true, timeouts: {implicit: 0, pageLoad: 300000, script: 30000}, unexpectedAlertBehaviour: ignore, unhandledPromptBehavior: ignore, version: 72.0.3626.121, webStorageEnabled: true}
Session ID: 64fad052a084f2dc367d2e969a725fb4
*** Element info: {Using=xpath, value=ctl00$cphMainContent$txtForemanDate}
2019-03-15 15:25:59,942 | com.altius.automation.Auctionedit |ERROR | Recognized date is not entered
2019-03-15 15:28:26,434 | com.altius.automation.Auctionedit |ERROR | Central office option is not selected
2019-03-15 15:30:18,995 | com.altius.automation.Auctionedit |INFO | Central office option is selected successfully
2019-03-15 15:30:20,042 | com.altius.automation.Auctionedit |INFO | Valid UN is passed to the UN field
2019-03-15 15:30:20,332 | com.altius.automation.Auctionedit |INFO | Valid password data is passed to the PW field
2019-03-15 15:30:41,816 | com.altius.automation.Auctionedit |INFO | User able to login with Correct UN  &PW
2019-03-15 15:30:42,441 | com.altius.automation.Auctionedit |INFO | Mouse is successfully hovered on module 'Group and confidential report'
2019-03-15 15:30:44,618 | com.altius.automation.Auctionedit |INFO | Mouse is successfully hovered on for transfer screen
2019-03-15 15:30:53,691 | com.altius.automation.Auctionedit |INFO | Mouse is successfully clicked on transfer allocation screen
2019-03-15 15:31:04,472 | com.altius.automation.Auctionedit |INFO | Chit group is successfully selected
2019-03-15 15:31:16,695 | com.altius.automation.Auctionedit |INFO | Token is successfully selected
2019-03-15 15:31:28,628 | com.altius.automation.Auctionedit |INFO | Member name is successfully selected
2019-03-15 15:31:34,596 | com.altius.automation.Auctionedit |INFO | Card is successfully selected
2019-03-15 15:31:35,542 | com.altius.automation.Auctionedit |INFO | Assigned date is successfully entered
2019-03-15 15:31:36,167 | com.altius.automation.Auctionedit |INFO | Recognized date is successfully entered
2019-03-15 15:38:23,137 | com.altius.automation.Auctionedit |INFO | Central office option is selected successfully
2019-03-15 15:38:24,723 | com.altius.automation.Auctionedit |INFO | Valid UN is passed to the UN field
2019-03-15 15:38:25,397 | com.altius.automation.Auctionedit |INFO | Valid password data is passed to the PW field
2019-03-15 15:41:04,698 | com.altius.automation.Auctionedit |INFO | Central office option is selected successfully
2019-03-15 15:41:06,983 | com.altius.automation.Auctionedit |INFO | Valid UN is passed to the UN field
2019-03-15 15:41:08,454 | com.altius.automation.Auctionedit |INFO | Valid password data is passed to the PW field
2019-03-15 15:41:31,584 | com.altius.automation.Auctionedit |INFO | User able to login with Correct UN  &PW
2019-03-15 15:41:31,913 | com.altius.automation.Auctionedit |INFO | Mouse is successfully hovered on module 'Group and confidential report'
2019-03-15 15:41:34,033 | com.altius.automation.Auctionedit |INFO | Mouse is successfully hovered on for transfer screen
2019-03-15 15:41:41,571 | com.altius.automation.Auctionedit |INFO | Mouse is successfully clicked on transfer allocation screen
2019-03-15 15:41:51,767 | com.altius.automation.Auctionedit |INFO | Chit group is successfully selected
2019-03-15 15:42:02,846 | com.altius.automation.Auctionedit |INFO | Token is successfully selected
2019-03-15 15:42:15,142 | com.altius.automation.Auctionedit |INFO | Member name is successfully selected
2019-03-15 15:42:20,817 | com.altius.automation.Auctionedit |INFO | Card is successfully selected
2019-03-15 15:42:21,422 | com.altius.automation.Auctionedit |INFO | Assigned date is successfully entered
2019-03-15 15:42:22,264 | com.altius.automation.Auctionedit |INFO | Recognized date is successfully entered
2019-03-15 15:42:28,525 | com.altius.automation.Auctionedit |INFO | Nominne details is successfully entered
